[2018/1/16 - 19:00:24] {00FF00}General Administrator{FFFFFF} Yuri Ben is now on duty.
[2018/1/16 - 19:00:52] {00FF00}General Administrator{FFFFFF} Yuri Ben is now off duty.
[2018/1/16 - 19:02:11] {00FF00}General Administrator{FFFFFF} Kevin Dios Brank is now off duty.
[2018/1/16 - 19:05:00] {FF0000}Head Administrator{FFFFFF} Abdul Naveed is now on duty.
[2018/1/16 - 19:13:29] {00FF00}General Administrator{FFFFFF} Nikola Ziwic is now off duty.
[2018/1/16 - 19:13:30] {00FF00}General Administrator{FFFFFF} Nikola Ziwic is now on duty.
[2018/1/16 - 19:25:47] {00FF00}General Administrator{FFFFFF} Kobe Mece is now on duty.
[2018/1/16 - 19:26:16] {00FF00}Junior Administrator{FFFFFF} Scott Casso is now on duty.
[2018/1/16 - 19:26:50] {00FF00}General Administrator{FFFFFF} Alejandro Waters is now on duty.
[2018/1/16 - 19:31:34] {00FF00}General Administrator{FFFFFF} Kara Danvers is now off duty.
[2018/1/16 - 19:31:40] {00FF00}General Administrator{FFFFFF} Kara Danvers is now on duty.
[2018/1/16 - 19:31:46] {00FF00}General Administrator{FFFFFF} Alejandro Waters is now off duty.
[2018/1/16 - 19:31:49] {00FF00}General Administrator{FFFFFF} Alejandro Waters is now on duty.
[2018/1/16 - 19:32:05] {298EFF}Executive Administrator{FFFFFF} Matt Honest is now on duty.
[2018/1/16 - 19:41:09] {00FF00}General Administrator{FFFFFF} Trent Wolf is now off duty.
[2018/1/16 - 19:41:11] {00FF00}General Administrator{FFFFFF} Trent Wolf is now on duty.
[2018/1/16 - 19:56:40] {FF0000}Head Administrator{FFFFFF} Mitch Makaveli is now on duty.
[2018/1/16 - 19:59:12] {FF0000}Head Administrator{FFFFFF} Kevin Kush is now on duty.
[2018/1/16 - 20:01:05] {00FF00}General Administrator{FFFFFF} Kara Danvers is now off duty.
[2018/1/16 - 20:01:25] {00FF00}General Administrator{FFFFFF} Kara Danvers is now on duty.
[2018/1/16 - 20:09:27] {FF0000}Head Administrator{FFFFFF} Mitch Makaveli is now on duty.
[2018/1/16 - 20:13:18] {00FF00}General Administrator{FFFFFF} Arturo Waters is now on duty.
[2018/1/16 - 20:24:46] {00FF00}General Administrator{FFFFFF} Kara Danvers is now off duty.
[2018/1/16 - 20:32:14] {FF0000}Head Administrator{FFFFFF} Mitch Makaveli is now off duty.
[2018/1/16 - 20:32:18] {FF0000}Head Administrator{FFFFFF} Mitch Makaveli is now on duty.
[2018/1/16 - 20:39:43] {00FF00}General Administrator{FFFFFF} Kobe Mece is now off duty.
[2018/1/16 - 20:39:56] {00FF00}General Administrator{FFFFFF} Kobe Mece is now on duty.
[2018/1/16 - 20:44:06] {00FF00}General Administrator{FFFFFF} Kobe Mece is now off duty.
[2018/1/16 - 20:44:08] {00FF00}General Administrator{FFFFFF} Kobe Mece is now on duty.
[2018/1/16 - 20:44:50] {298EFF}Executive Administrator{FFFFFF} Matt Honest is now off duty.
[2018/1/16 - 20:44:51] {298EFF}Executive Administrator{FFFFFF} Matt Honest is now on duty.
[2018/1/16 - 20:47:40] {00FF00}General Administrator{FFFFFF} Kobe Mece is now off duty.
[2018/1/16 - 20:55:16] {00FF00}General Administrator{FFFFFF} Kobe Mece is now on duty.
[2018/1/16 - 20:55:23] {00FF00}General Administrator{FFFFFF} Kobe Mece is now off duty.
[2018/1/16 - 21:05:41] {00FF00}General Administrator{FFFFFF} Hooligan Maddox is now on duty.
[2018/1/16 - 21:06:27] {00FF00}General Administrator{FFFFFF} Kara Danvers is now on duty.
[2018/1/16 - 21:07:24] {00FF00}General Administrator{FFFFFF} Kobe Mece is now on duty.
[2018/1/16 - 21:10:47] {00FF00}General Administrator{FFFFFF} Kobe Mece is now off duty.
[2018/1/16 - 21:10:50] {00FF00}General Administrator{FFFFFF} Kobe Mece is now on duty.
[2018/1/16 - 21:10:51] {00FF00}General Administrator{FFFFFF} Kobe Mece is now off duty.
[2018/1/16 - 21:12:45] {00FF00}General Administrator{FFFFFF} Kobe Mece is now on duty.
[2018/1/16 - 21:12:55] {00FF00}General Administrator{FFFFFF} Kobe Mece is now off duty.
[2018/1/16 - 21:14:23] {00FF00}General Administrator{FFFFFF} Hooligan Maddox is now off duty.
[2018/1/16 - 21:14:29] {00FF00}General Administrator{FFFFFF} Hooligan Maddox is now on duty.
